ID;quali_date;quali_time;raceId
1;2022-03-19;15:00:00;1074
2;2022-03-26;17:00:00;1075
3;2022-04-09;06:00:00;1076
4;2022-04-22;15:00:00;1077
5;2022-05-07;20:00:00;1078
6;2022-05-21;14:00:00;1079
7;2022-05-28;14:00:00;1080
8;2022-06-11;14:00:00;1081
9;2022-06-18;20:00:00;1082
10;2022-07-02;14:00:00;1083
11;2022-07-08;15:00:00;1084
12;2022-07-23;14:00:00;1085
13;2022-07-30;14:00:00;1086
14;2022-08-27;14:00:00;1087
15;2022-09-03;13:00:00;1088
16;2022-09-10;14:00:00;1089
17;2022-10-01;13:00:00;1091
18;2022-10-08;06:00:00;1092
19;2022-10-22;22:00:00;1093
20;2022-10-29;20:00:00;1094
21;2022-11-11;19:00:00;1095
22;2022-11-19;14:00:00;1096
23;2023-03-04;15:00:00;1098
24;2023-03-18;17:00:00;1099
25;2023-04-01;05:00:00;1100
26;2023-04-28;13:00:00;1101
27;2023-05-06;20:00:00;1102
28;2023-05-27;14:00:00;1104
29;2023-06-03;14:00:00;1105
30;2023-06-17;20:00:00;1106
31;2023-06-30;15:00:00;1107
32;2023-07-08;14:00:00;1108
33;2023-07-22;14:00:00;1109
34;2023-07-28;15:00:00;1110
35;2023-08-26;13:00:00;1111
36;2023-09-02;14:00:00;1112
37;2023-09-16;13:00:00;1113
38;2023-09-23;06:00:00;1114
39;2023-10-06;17:00:00;1115
40;2023-10-20;21:00:00;1116
41;2023-10-28;21:00:00;1117
42;2023-11-03;18:00:00;1118
43;2023-11-17;08:00:00;1119
44;2023-11-25;14:00:00;1120
45;2024-03-01;16:00:00;1121
46;2024-03-08;17:00:00;1122
47;2024-03-23;05:00:00;1123
48;2024-04-06;06:00:00;1124
49;2024-04-20;07:00:00;1125
50;2024-05-04;20:00:00;1126
51;2024-05-18;14:00:00;1127
52;2024-05-25;14:00:00;1128
53;2024-06-08;20:00:00;1129
54;2024-06-22;14:00:00;1130
55;2024-06-29;14:00:00;1131
56;2024-07-06;14:00:00;1132
57;2024-07-20;14:00:00;1133
58;2024-07-27;14:00:00;1134
59;2024-08-24;13:00:00;1135
60;2024-08-31;14:00:00;1136
61;2024-09-14;12:00:00;1137
62;2024-09-21;13:00:00;1138
63;2024-10-19;22:00:00;1139
64;2024-10-26;21:00:00;1140
65;2024-11-02;18:00:00;1141
66;2024-11-22;06:00:00;1142
67;2024-11-30;17:00:00;1143
68;2024-12-07;14:00:00;1144
